Species	Gene_Clusters	Colibactin_Pathway
Mediterraneibacter_faecis	ranthipeptide	No
Mediterraneibacter_faecis	cyclic-lactone-autoinducer	No
Sphingomonas_echinoides	terpene	No
Sphingomonas_echinoides	T3PKS	No
Sphingomonas_echinoides	RiPP-like	No
Sphingomonas_echinoides	acyl_amino_acids	No
Ruminococcus_bromii	RRE-containing	No
Ruminococcus_bromii	ranthipeptide	No
Ruminococcus_bromii	NRPS	Yes
Ruminococcus_bromii	HR-T2PKS	No
Phocaeicola_vulgatus	arylpolyene	No
Phocaeicola_vulgatus	resorcinol	No
Phocaeicola_massiliensis	RRE-containing	No
Phocaeicola_massiliensis	NRPS	Yes
Phocaeicola_massiliensis	resorcinol	No
Phocaeicola_massiliensis	RiPP-like	No
Oscillibacter_sp_ER4	ranthipeptide	No
Dialister_invisus	ranthipeptide	No
Dialister_invisus	RRE-containing	No
Dialister_invisus	resorcinol	No
Alistipes_putredinis	RRE-containing	No
Alistipes_onderdonkii	RRE-containing	No
Alistipes_onderdonkii	arylpolyene	No
Akkermansia_muciniphila	terpene	No
