#mpa_vJun23_CHOCOPhlAnSGB_202307
clade_name	P1_Ileum	P1_Rectum	P2_Ileum	P2_Rectum	P3_Ileum	P3_Rectum
UNCLASSIFIED	94.02867	100.0	26.60027	29.4903	77.27819	100.0
k__Bacteria	5.971330686427811	0.0	73.39973137867463	70.50969703996742	22.72181280555064	0.0
k__Bacteria|p__Proteobacteria	5.971330686427811	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	5.971330686427811	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	5.971330686427811	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	5.971330686427811	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas	5.971330686427811	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_echinoides	5.971330686427811	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_echinoides|t__SGB31712	5.971330686427811	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota	0.0	0.0	53.997187666250674	40.31145144320497	22.72181280555064	0.0
k__Bacteria|p__Firmicutes	0.0	0.0	14.029499876176525	8.385175344296117	0.0	0.0
k__Bacteria|p__Verrucomicrobia	0.0	0.0	5.3730438362474295	21.81307025246633	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia	0.0	0.0	53.997187666250674	40.31145144320497	22.72181280555064	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0	0.0	9.18067692143559	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.0	0.0	5.3730438362474295	21.81307025246633	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	0.0	0.0	53.997187666250674	40.31145144320497	22.72181280555064	0.0
