Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P1_Ileum_1_R1	1.8337673611111143	46.0	101.0	101	27.27272727272727	27648.0
P1_Ileum_1_R2	2.1412037037037095	52.0	101.0	101	27.27272727272727	27648.0
P1_Ileum_2_R1	0.6603548412761597	47.0	101.0	101	36.36363636363637	25138.0
P1_Ileum_2_R2	1.571326278940262	50.0	101.0	101	36.36363636363637	25138.0
P1_Ileum_3_R1	1.1145537481711045	46.0	101.0	101	27.27272727272727	23238.0
P1_Ileum_3_R2	1.669678974094154	51.0	101.0	101	36.36363636363637	23238.0
P1_Rectum_1_R1	2.4015673386842025	46.0	101.0	101	27.27272727272727	15823.0
P1_Rectum_1_R2	2.7997219237818456	50.0	101.0	101	36.36363636363637	15823.0
P1_Rectum_2_R1	2.4015673386842025	46.0	101.0	101	27.27272727272727	15823.0
P1_Rectum_2_R2	2.7997219237818456	50.0	101.0	101	36.36363636363637	15823.0
P1_Rectum_3_R1	1.8218623481781435	49.0	101.0	101	27.27272727272727	20748.0
P1_Rectum_3_R2	2.1303258145363344	49.0	101.0	101	27.27272727272727	20748.0
P2_Ileum_1_R1	0.15110305228165544	47.0	101.0	101	18.181818181818183	6618.0
P2_Ileum_1_R2	0.6195225143547844	48.0	101.0	101	18.181818181818183	6618.0
P2_Ileum_2_R1	0.16542263465805718	48.0	101.0	101	27.27272727272727	24785.0
P2_Ileum_2_R2	0.29453298365946523	48.0	101.0	101	18.181818181818183	24785.0
P2_Ileum_3_R1	0.21853146853146654	46.0	101.0	101	18.181818181818183	16016.0
P2_Ileum_3_R2	0.19355644355644586	47.0	101.0	101	18.181818181818183	16016.0
P2_Rectum_1_R1	0.5487547488391726	48.0	101.0	101	18.181818181818183	16583.0
P2_Rectum_1_R2	2.4784417777241714	52.0	101.0	101	27.27272727272727	16583.0
P2_Rectum_2_R1	1.028306059265816	48.0	101.0	101	18.181818181818183	9044.0
P2_Rectum_2_R2	1.2162759840778392	48.0	101.0	101	27.27272727272727	9044.0
P2_Rectum_3_R1	0.3159980718761659	48.0	101.0	101	9.090909090909092	18671.0
P2_Rectum_3_R2	0.38026886615607225	48.0	101.0	101	9.090909090909092	18671.0
P3_Ileum_1_R1	2.2610383309073256	46.0	101.0	101	36.36363636363637	20610.0
P3_Ileum_1_R2	2.508491023774866	48.0	101.0	101	36.36363636363637	20610.0
P3_Ileum_2_R1	1.797487681310301	46.0	101.0	101	27.27272727272727	14409.0
P3_Ileum_2_R2	2.158373238947874	48.0	101.0	101	36.36363636363637	14409.0
P3_Ileum_3_R1	2.798982188295156	46.0	101.0	101	36.36363636363637	18078.0
P3_Ileum_3_R2	2.981524504923115	50.0	101.0	101	27.27272727272727	18078.0
P3_Rectum_1_R1	8.031607500884547	49.0	101.0	101	36.36363636363637	8479.0
P3_Rectum_1_R2	8.515155089043532	55.0	101.0	101	36.36363636363637	8479.0
P3_Rectum_2_R1	7.56411643761497	47.0	101.0	101	36.36363636363637	9241.0
P3_Rectum_2_R2	8.87349853911914	52.0	101.0	101	36.36363636363637	9241.0
P3_Rectum_3_R1	6.519823788546248	49.0	101.0	101	36.36363636363637	7945.0
P3_Rectum_3_R2	7.098804279421017	53.0	101.0	101	36.36363636363637	7945.0
