ID	Location	Replicate	Filter	num_seqs	sum_len	avg_len	Read_pair
P1	Ileum	1	Raw	27648	2792448	101.0	1
P1	Ileum	1	Contaminants	4498	268882	59.8	1
P1	Ileum	1	Contaminants	4498	268882	59.8	1
P1	Ileum	1	Dropped	0	0		1
P1	Ileum	1	Dropped	0	0		1
P1	Ileum	1	Filtered	4658	456256	98.0	1
P1	Ileum	1	Filtered	4658	456256	98.0	1
P1	Ileum	1	Repeatless	9156	725138	79.2	1
P1	Ileum	1	Repeatless	9156	725138	79.2	1
P1	Ileum	1	Trimmed	9545	751447	78.7	1
P1	Ileum	1	Trimmed	9545	751447	78.7	1
P1	Ileum	1	Dropped	0	0	0.0	1
P1	Ileum	1	Dropped	0	0	0.0	1
P1	Ileum	1	Raw	27648	2792448	101.0	2
P1	Ileum	2	Raw	25138	2538938	101.0	1
P1	Ileum	2	Contaminants	3476	207638	59.7	1
P1	Ileum	2	Contaminants	3476	207638	59.7	1
P1	Ileum	2	Dropped	0	0	0.0	1
P1	Ileum	2	Dropped	0	0	0.0	1
P1	Ileum	2	Filtered	2537	242481	95.6	1
P1	Ileum	2	Filtered	2537	242481	95.6	1
P1	Ileum	2	Repeatless	6013	450119	74.9	1
P1	Ileum	2	Repeatless	6013	450119	74.9	1
P1	Ileum	2	Trimmed	6234	464703	74.5	1
P1	Ileum	2	Trimmed	6234	464703	74.5	1
P1	Ileum	2	Dropped	0	0	0.0	1
P1	Ileum	2	Dropped	0	0	0.0	1
P1	Ileum	2	Raw	25138	2538938	101.0	2
P1	Ileum	3	Raw	23238	2347038	101.0	1
P1	Ileum	3	Contaminants	3599	215450	59.9	1
P1	Ileum	3	Contaminants	3599	215450	59.9	1
P1	Ileum	3	Dropped	0	0	0.0	1
P1	Ileum	3	Dropped	0	0	0.0	1
P1	Ileum	3	Filtered	3591	346799	96.6	1
P1	Ileum	3	Filtered	3591	346799	96.6	1
P1	Ileum	3	Repeatless	7190	562249	78.2	1
P1	Ileum	3	Repeatless	7190	562249	78.2	1
P1	Ileum	3	Trimmed	7493	582347	77.7	1
P1	Ileum	3	Trimmed	7493	582347	77.7	1
P1	Ileum	3	Dropped	0	0	0.0	1
P1	Ileum	3	Dropped	0	0	0.0	1
P1	Ileum	3	Raw	23238	2347038	101.0	2
P1	Rectum	1	Raw	15823	1598123	101.0	1
P1	Rectum	1	Contaminants	2888	172019	59.6	1
P1	Rectum	1	Contaminants	2888	172019	59.6	1
P1	Rectum	1	Dropped	0	0	0.0	1
P1	Rectum	1	Dropped	0	0	0.0	1
P1	Rectum	1	Filtered	1522	144786	95.1	1
P1	Rectum	1	Filtered	1522	144786	95.1	1
P1	Rectum	1	Repeatless	4410	316805	71.8	1
P1	Rectum	1	Repeatless	4410	316805	71.8	1
P1	Rectum	1	Trimmed	4670	334143	71.6	1
P1	Rectum	1	Trimmed	4670	334143	71.6	1
P1	Rectum	1	Dropped	0	0	0.0	1
P1	Rectum	1	Dropped	0	0	0.0	1
P1	Rectum	1	Raw	15823	1598123	101.0	2
P1	Rectum	2	Raw	15823	1598123	101.0	1
P1	Rectum	2	Contaminants	2888	172019	59.6	1
P1	Rectum	2	Contaminants	2888	172019	59.6	1
P1	Rectum	2	Dropped	0	0	0.0	1
P1	Rectum	2	Dropped	0	0	0.0	1
P1	Rectum	2	Filtered	1522	144786	95.1	1
P1	Rectum	2	Filtered	1522	144786	95.1	1
P1	Rectum	2	Repeatless	4410	316805	71.8	1
P1	Rectum	2	Repeatless	4410	316805	71.8	1
P1	Rectum	2	Trimmed	4670	334143	71.6	1
P1	Rectum	2	Trimmed	4670	334143	71.6	1
P1	Rectum	2	Dropped	0	0	0.0	1
P1	Rectum	2	Dropped	0	0	0.0	1
P1	Rectum	2	Raw	15823	1598123	101.0	2
P1	Rectum	3	Raw	20748	2095548	101.0	1
P1	Rectum	3	Contaminants	3958	237224	59.9	1
P1	Rectum	3	Contaminants	3958	237224	59.9	1
P1	Rectum	3	Dropped	0	0	0.0	1
P1	Rectum	3	Dropped	0	0	0.0	1
P1	Rectum	3	Filtered	2664	256875	96.4	1
P1	Rectum	3	Filtered	2664	256875	96.4	1
P1	Rectum	3	Repeatless	6622	494099	74.6	1
P1	Rectum	3	Repeatless	6622	494099	74.6	1
P1	Rectum	3	Trimmed	6905	513296	74.3	1
P1	Rectum	3	Trimmed	6905	513296	74.3	1
P1	Rectum	3	Dropped	0	0	0.0	1
P1	Rectum	3	Dropped	0	0	0.0	1
P1	Rectum	3	Raw	20748	2095548	101.0	2
P2	Ileum	1	Raw	6618	668418	101.0	1
P2	Ileum	1	Contaminants	477	28376	59.5	1
P2	Ileum	1	Contaminants	477	28376	59.5	1
P2	Ileum	1	Dropped	0	0	0.0	1
P2	Ileum	1	Dropped	0	0	0.0	1
P2	Ileum	1	Filtered	3469	338422	97.6	1
P2	Ileum	1	Filtered	3469	338422	97.6	1
P2	Ileum	1	Repeatless	3946	366798	93.0	1
P2	Ileum	1	Repeatless	3946	366798	93.0	1
P2	Ileum	1	Trimmed	3980	369169	92.8	1
P2	Ileum	1	Trimmed	3980	369169	92.8	1
P2	Ileum	1	Dropped	0	0	0.0	1
P2	Ileum	1	Dropped	0	0	0.0	1
P2	Ileum	1	Raw	6618	668418	101.0	2
P2	Ileum	2	Raw	24785	2503285	101.0	1
P2	Ileum	2	Contaminants	10	649	64.9	1
P2	Ileum	2	Contaminants	10	649	64.9	1
P2	Ileum	2	Dropped	0	0	0.0	1
P2	Ileum	2	Dropped	0	0	0.0	1
P2	Ileum	2	Filtered	22785	2207867	96.9	1
P2	Ileum	2	Filtered	22785	2207867	96.9	1
P2	Ileum	2	Repeatless	22795	2208516	96.9	1
P2	Ileum	2	Repeatless	22795	2208516	96.9	1
P2	Ileum	2	Trimmed	22844	2213403	96.9	1
P2	Ileum	2	Trimmed	22844	2213403	96.9	1
P2	Ileum	2	Dropped	0	0	0.0	1
P2	Ileum	2	Dropped	0	0	0.0	1
