#mpa_vJun23_CHOCOPhlAnSGB_202307
clade_name	P1_Ileum_1	P1_Ileum_2	P1_Ileum_3	P1_Rectum_1	P1_Rectum_2	P1_Rectum_3	P2_Ileum_1	P2_Ileum_2	P2_Ileum_3	P2_Rectum_1	P2_Rectum_2	P2_Rectum_3	P3_Ileum_1	P3_Ileum_2	P3_Ileum_3	P3_Rectum_1	P3_Rectum_2	P3_Rectum_3
UNCLASSIFIED	100.0	100.0	100.0	100.0	100.0	100.0	100.0	0.0	22.09927	0.0	1.746	18.49506	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	77.90073165740992	100.0	98.25400205620338	81.50494499991643	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.71271	77.90073165740992	71.53595	98.25400205620338	39.8885526849371	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.28729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.71271	77.90073165740992	71.53595	98.25400205620338	39.8885526849371	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.28729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.71271	77.90073165740992	71.53595	98.25400205620338	39.8885526849371	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.28729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.61901	77.90073165740992	71.53595	98.25400205620338	39.8885526849371	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.28729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.44407	77.90073165740992	71.53595	98.25400205620338	39.8885526849371	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.28729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.17495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.44407	77.90073165740992	71.53595	98.25400205620338	39.8885526849371	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.28729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.17495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus|t__SGB1814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.44407	77.90073165740992	71.53595	98.25400205620338	39.8885526849371	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__SGB2318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus|t__SGB5825_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.28729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__SGB1836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.17495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.46405	0.0	41.61639231497933	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.46405	0.0	41.61639231497933	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.46405	0.0	41.61639231497933	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.46405	0.0	41.61639231497933	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.46405	0.0	41.61639231497933	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.46405	0.0	41.61639231497933	0.0	0.0	0.0	0.0	0.0	0.0
