Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P1_Ileum_1_R1_kneaddata_paired_1	0.1502790897380777	49.0	97.01331043366251	100	18.181818181818183	4658.0
P1_Ileum_1_R1_kneaddata_paired_2	0.1502790897380777	49.0	97.01331043366251	100	18.181818181818183	4658.0
P1_Ileum_2_R1_kneaddata_paired_1	0.11824990145841241	52.0	94.71344107213244	100	27.27272727272727	2537.0
P1_Ileum_2_R1_kneaddata_paired_2	0.11824990145841241	52.0	94.71344107213244	100	27.27272727272727	2537.0
P1_Ileum_3_R1_kneaddata_paired_1	0.1113895850737947	47.0	95.68142578668895	100	18.181818181818183	3591.0
P1_Ileum_3_R1_kneaddata_paired_2	0.1113895850737947	47.0	95.68142578668895	100	18.181818181818183	3591.0
P1_Rectum_1_R1_kneaddata_paired_1	0.06570302233902225	51.0	94.22996057818659	100	27.27272727272727	1522.0
P1_Rectum_1_R1_kneaddata_paired_2	0.06570302233902225	51.0	94.22996057818659	100	27.27272727272727	1522.0
P1_Rectum_2_R1_kneaddata_paired_1	0.06570302233902225	51.0	94.22996057818659	100	27.27272727272727	1522.0
P1_Rectum_2_R1_kneaddata_paired_2	0.06570302233902225	51.0	94.22996057818659	100	27.27272727272727	1522.0
P1_Rectum_3_R1_kneaddata_paired_1	0.18768768768768496	48.0	95.51201201201201	100	18.181818181818183	2664.0
P1_Rectum_3_R1_kneaddata_paired_2	0.18768768768768496	48.0	95.51201201201201	100	18.181818181818183	2664.0
P2_Ileum_1_R1_kneaddata_paired_1	0.0	46.0	96.63476506197752	100	18.181818181818183	3469.0
P2_Ileum_1_R1_kneaddata_paired_2	0.0	46.0	96.63476506197752	100	18.181818181818183	3469.0
P2_Ileum_2_R1_kneaddata_paired_1	0.11849901250823791	48.0	95.99052007899934	100	9.090909090909092	22785.0
P2_Ileum_2_R1_kneaddata_paired_2	0.11849901250823791	48.0	95.99052007899934	100	9.090909090909092	22785.0
P2_Ileum_3_R1_kneaddata_paired_1	0.13013302486987754	46.0	97.9906015037594	100	9.090909090909092	13832.0
P2_Ileum_3_R1_kneaddata_paired_2	0.13013302486987754	46.0	97.9906015037594	100	9.090909090909092	13832.0
P2_Rectum_1_R1_kneaddata_paired_1	0.12448740480375875	48.0	98.20210896309315	100	9.090909090909092	13656.0
P2_Rectum_1_R1_kneaddata_paired_2	0.12448740480375875	48.0	98.20210896309315	100	9.090909090909092	13656.0
P2_Rectum_2_R1_kneaddata_paired_1	0.15627034770152193	48.0	98.14272691756739	100	9.090909090909092	7679.0
P2_Rectum_2_R1_kneaddata_paired_2	0.15627034770152193	48.0	98.14272691756739	100	9.090909090909092	7679.0
P2_Rectum_3_R1_kneaddata_paired_1	0.08108421174563318	48.0	98.48152438318081	100	9.090909090909092	17266.0
P2_Rectum_3_R1_kneaddata_paired_2	0.08108421174563318	48.0	98.48152438318081	100	9.090909090909092	17266.0
P3_Ileum_1_R1_kneaddata_paired_1	0.062279427029267254	44.0	96.0934191405439	100	9.090909090909092	4817.0
P3_Ileum_1_R1_kneaddata_paired_2	0.062279427029267254	44.0	96.0934191405439	100	9.090909090909092	4817.0
P3_Ileum_2_R1_kneaddata_paired_1	0.12348728081008176	44.0	97.20474191158311	100	9.090909090909092	4049.0
P3_Ileum_2_R1_kneaddata_paired_2	0.12348728081008176	44.0	97.20474191158311	100	9.090909090909092	4049.0
P3_Ileum_3_R1_kneaddata_paired_1	0.12923235978288972	45.0	95.5823210131817	100	9.090909090909092	3869.0
P3_Ileum_3_R1_kneaddata_paired_2	0.12923235978288972	45.0	95.5823210131817	100	9.090909090909092	3869.0
P3_Rectum_1_R1_kneaddata_paired_1	0.06548788474131584	58.0	95.6633922724296	100	27.27272727272727	1527.0
P3_Rectum_1_R1_kneaddata_paired_2	0.06548788474131584	58.0	95.6633922724296	100	27.27272727272727	1527.0
P3_Rectum_2_R1_kneaddata_paired_1	0.20533880903489887	58.0	89.60164271047228	100	27.27272727272727	487.0
P3_Rectum_2_R1_kneaddata_paired_2	0.20533880903489887	58.0	89.60164271047228	100	27.27272727272727	487.0
P3_Rectum_3_R1_kneaddata_paired_1	0.13504388926401134	60.0	95.50708980418636	100	27.27272727272727	1481.0
P3_Rectum_3_R1_kneaddata_paired_2	0.13504388926401134	60.0	95.50708980418636	100	27.27272727272727	1481.0
