Module	Section	Sample Name	Source
FastQC	all_sections	P3_Rectum_3_R1_kneaddata_paired_1	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P3_Rectum_3_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	P3_Rectum_1_R1_kneaddata_paired_2	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P3_Rectum_1_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	P3_Rectum_1_R1_kneaddata_paired_1	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P3_Rectum_1_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	P1_Ileum_1_R1_kneaddata_paired_2	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P1_Ileum_1_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	P1_Rectum_1_R1_kneaddata_paired_1	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P1_Rectum_1_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	P2_Rectum_1_R1_kneaddata_paired_1	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P2_Rectum_1_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	P1_Ileum_3_R1_kneaddata_paired_2	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P1_Ileum_3_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	P2_Rectum_2_R1_kneaddata_paired_2	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P2_Rectum_2_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	P1_Rectum_3_R1_kneaddata_paired_1	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P1_Rectum_3_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	P1_Rectum_1_R1_kneaddata_paired_2	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P1_Rectum_1_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	P3_Ileum_1_R1_kneaddata_paired_2	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P3_Ileum_1_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	P1_Ileum_2_R1_kneaddata_paired_1	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P1_Ileum_2_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	P2_Ileum_2_R1_kneaddata_paired_1	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P2_Ileum_2_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	P3_Rectum_3_R1_kneaddata_paired_2	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P3_Rectum_3_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	P2_Ileum_1_R1_kneaddata_paired_1	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P2_Ileum_1_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	P2_Ileum_3_R1_kneaddata_paired_1	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P2_Ileum_3_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	P3_Rectum_2_R1_kneaddata_paired_2	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P3_Rectum_2_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	P3_Ileum_2_R1_kneaddata_paired_2	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P3_Ileum_2_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	P2_Ileum_3_R1_kneaddata_paired_2	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P2_Ileum_3_R1_kneaddata_paired_2_fastqc.zip
FastQC	all_sections	P3_Rectum_2_R1_kneaddata_paired_1	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P3_Rectum_2_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	P3_Ileum_1_R1_kneaddata_paired_1	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P3_Ileum_1_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	P3_Ileum_2_R1_kneaddata_paired_1	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P3_Ileum_2_R1_kneaddata_paired_1_fastqc.zip
FastQC	all_sections	P2_Ileum_1_R1_kneaddata_paired_2	/dss/dsshome1/lxc07/di39dux/microbe/trimmed_fastq/fastqc_results/P2_Ileum_1_R1_kneaddata_paired_2_fastqc.zip
